1,2,3,4,5,6,7,8,9
65,60,75,80,80,65,70,75,95
60,75,65,65,65,55,85,70,55
200,75,60,120,75,90,50,50,75
60,75,45,70,55,75,100,100,90
50,55,65,65,90,65,85,90,95
75,75,60,65,60,70,110,60,60
175,60,50,70,75,90,95,115,70
60,75,60,75,70,45,115,80,60
55,60,65,50,60,40,90,75,120
75,70,65,65,60,40,80,90,70
75,150,70,65,85,95,25,55,80
55,60,55,80,90,65,45,55,85
130,75,60,75,80,90,110,90,85
80,65,85,75,70,45,85,95,90
85,75,60,65,90,80,85,100,90
60,70,65,165,90,85,60,95,90
80,95,50,50,80,50,85,55,80
85,95,65,55,70,100,85,110,95
175,70,50,95,70,100,90,85,100
80,75,45,105,70,65,90,30,135
100,70,60,65,50,60,95,100,80
85,65,95,95,95,85,85,70,100
70,50,50,60,65,45,85,75,65
90,100,55,75,65,50,80,95,85
75,70,55,60,65,45,75,50,65
60,60,65,85,65,60,65,75,110
65,75,65,75,90,60,85,70,45
95,55,35,85,70,65,65,85,65
65,70,60,95,110,65,70,80,70
55,155,70,50,45,55,75,85,65
60,65,50,55,110,75,60,45,65
60,80,60,90,55,60,80,90,90
70,105,70,60,55,75,90,75,90
85,60,55,95,90,75,80,90,105
55,45,65,65,100,60,55,60,65
165,85,65,75,80,80,75,65,90
65,150,75,75,65,65,30,75,85
35,55,50,60,60,65,50,45,95
55,55,80,80,65,55,70,50,95
60,60,120,80,55,50,60,95,110
90,45,80,75,70,80,80,80,105
70,60,80,70,105,60,55,115,85
55,65,40,100,80,50,90,75,75
85,105,45,70,70,60,55,65,85
70,75,100,50,60,70,115,70,55
70,85,55,60,60,65,60,80,95
65,65,105,95,80,70,55,70,110
80,70,60,95,75,50,70,80,100
60,80,100,100,105,80,65,100,90
80,85,140,60,45,55,55,115,85
60,70,75,80,55,100,90,75,95
90,215,80,75,75,65,50,75,80
50,80,95,70,85,60,85,60,90
60,110,40,60,70,75,55,60,70
60,65,75,80,70,60,70,100,95
70,75,80,125,50,65,70,115,75
50,120,220,75,95,95,65,65,70
55,75,50,85,70,70,60,90,195
65,100,50,75,80,65,85,105,85
80,75,80,70,60,70,70,65,60
70,90,30,70,75,60,65,90,70
155,55,50,70,80,65,65,70,60
55,65,60,70,65,70,65,75,75
55,80,65,95,60,60,95,90,100
100,70,55,80,60,65,90,90,80
80,105,80,45,95,55,75,75,60
75,100,50,55,60,60,85,95,65
70,60,60,75,60,70,90,65,55
150,70,85,90,75,55,60,95,90
65,50,70,55,50,105,65,45,65
60,110,75,70,80,70,65,85,60
185,100,55,70,70,90,115,100,95
75,80,45,65,55,65,80,75,65
95,75,70,50,35,45,90,105,60
105,80,85,45,75,60,80,80,80
60,95,45,80,90,75,100,90,105
40,65,90,100,60,45,90,45,50
80,70,40,95,55,95,100,55,40
90,90,100,60,90,90,60,45,45
80,80,90,45,90,45,40,80,40
100,65,65,70,55,80,85,40,85
95,40,85,90,80,60,70,100,60
70,80,50,55,65,80,70,55,85
45,70,45,100,60,110,40,65,55
65,100,65,40,85,95,75,50,60
65,60,40,75,115,95,100,65,105
95,75,60,95,65,90,90,110,100
100,45,45,55,80,60,95,75,90
105,45,40,70,100,55,85,115,80
80,105,95,85,70,100,40,90,50
85,70,60,45,75,100,90,95,100
70,100,40,100,80,50,40,95,55
70,40,50,65,55,65,100,70,105
100,50,40,40,70,95,95,70,65
90,95,85,55,40,90,65,90,75
95,85,65,90,65,70,40,50,60
40,65,85,90,45,95,40,40,70
40,105,95,65,45,80,90,45,45
80,95,40,105,75,85,70,85,85
70,90,45,40,65,100,95,95,80
